nameTeam,isWin,fgmTeam,fg3mTeam,fgaTeam,fg3aTeam,ftaTeam,ftmTeam,plusminusTeam
Los Angeles Lakers,FALSE,39,12,94,33,17,14,-3
Oklahoma City Thunder,TRUE,37,15,87,41,26,18,3
Phoenix Suns,TRUE,44,14,93,31,23,21,12
Houston Rockets,FALSE,38,11,88,32,28,24,-12
Atlanta Hawks,FALSE,35,7,82,28,26,21,-18
Utah Jazz,TRUE,41,17,81,41,23,17,18
Boston Celtics,TRUE,31,16,78,41,20,17,17
Miami Heat,FALSE,28,9,81,41,19,13,-17
Detroit Pistons,FALSE,35,11,87,36,19,17,-11
Philadelphia 76ers,TRUE,41,12,83,32,22,15,11
Brooklyn Nets,TRUE,36,11,80,27,14,13,6
Detroit Pistons,FALSE,33,11,87,34,18,13,-6
Sacramento Kings,TRUE,48,22,87,44,26,22,30
Charlotte Hornets,FALSE,43,11,92,35,21,13,-30
Portland Trail Blazers,TRUE,40,17,82,39,15,13,4
Indiana Pacers,FALSE,43,14,88,42,10,6,-4
LA Clippers,TRUE,36,6,88,28,32,26,20
Minnesota Timberwolves,FALSE,31,17,89,52,7,5,-20
New Orleans Pelicans,FALSE,31,11,88,44,16,12,-41
Golden State Warriors,TRUE,47,20,91,50,14,12,41
Cleveland Cavaliers,TRUE,38,10,83,30,19,16,1
Toronto Raptors,FALSE,42,12,99,27,9,5,-1
Memphis Grizzlies,FALSE,34,6,96,31,17,13,-28
Washington Wizards,TRUE,49,10,84,25,13,7,28
Orlando Magic,FALSE,35,12,89,41,10,7,-13
San Antonio Spurs,TRUE,40,6,90,19,18,16,13
Milwaukee Bucks,FALSE,33,16,82,43,21,16,-15
New York Knicks,TRUE,41,10,96,40,26,21,15
Denver Nuggets,TRUE,36,9,89,40,17,14,1
Houston Rockets,FALSE,35,8,75,28,24,16,-1
Los Angeles Lakers,FALSE,31,9,90,32,24,19,-15
Portland Trail Blazers,TRUE,36,15,95,55,24,18,15
Atlanta Hawks,FALSE,42,13,97,33,23,20,-4
Phoenix Suns,TRUE,45,14,88,43,21,17,4
Dallas Mavericks,TRUE,41,13,78,39,14,12,3
Boston Celtics,FALSE,42,9,86,31,16,11,-3
Philadelphia 76ers,TRUE,43,13,81,26,19,15,9
Chicago Bulls,FALSE,37,7,92,29,30,24,-9
Miami Heat,TRUE,47,11,78,21,17,13,3
Utah Jazz,FALSE,43,15,83,45,19,14,-3
San Antonio Spurs,FALSE,41,6,100,30,9,6,-5
Oklahoma City Thunder,TRUE,35,12,94,42,20,17,5
Sacramento Kings,FALSE,31,10,84,34,22,19,-3
Indiana Pacers,TRUE,37,6,83,25,18,14,3
Brooklyn Nets,TRUE,41,17,80,38,20,17,13
Toronto Raptors,FALSE,41,7,87,30,18,14,-13
Milwaukee Bucks,FALSE,37,10,94,36,18,10,-7
Washington Wizards,TRUE,41,11,81,27,13,8,7
Charlotte Hornets,FALSE,41,10,101,33,18,14,-14
LA Clippers,TRUE,41,18,86,48,21,20,14
Golden State Warriors,TRUE,44,15,85,46,20,17,13
Houston Rockets,FALSE,36,10,79,33,37,25,-13
Utah Jazz,FALSE,34,8,89,42,29,24,-7
Orlando Magic,TRUE,43,12,87,32,11,9,7
Cleveland Cavaliers,TRUE,49,19,90,35,11,9,17
New York Knicks,FALSE,39,9,85,31,24,22,-17
Charlotte Hornets,FALSE,43,14,99,42,28,23,-3
Los Angeles Lakers,TRUE,44,13,91,32,35,25,3
Atlanta Hawks,FALSE,38,17,82,43,26,20,-14
Golden State Warriors,TRUE,44,18,92,44,22,21,14
Phoenix Suns,TRUE,44,12,93,30,11,9,5
Sacramento Kings,FALSE,37,10,82,24,26,20,-5
Denver Nuggets,TRUE,42,12,91,41,24,17,17
Miami Heat,FALSE,31,13,78,36,25,21,-17
Minnesota Timberwolves,FALSE,41,17,97,45,23,19,-7
Memphis Grizzlies,TRUE,46,11,92,28,26,22,7
Dallas Mavericks,TRUE,43,14,85,35,13,8,16
New Orleans Pelicans,FALSE,37,9,87,34,11,9,-16
Brooklyn Nets,FALSE,34,11,86,33,19,16,-23
Chicago Bulls,TRUE,46,9,98,31,20,17,23
New York Knicks,TRUE,40,13,91,40,13,10,7
Philadelphia 76ers,FALSE,35,13,91,40,16,13,-7
Portland Trail Blazers,FALSE,43,14,91,37,12,9,-8
LA Clippers,TRUE,44,16,85,30,19,13,8
Utah Jazz,TRUE,41,15,81,38,16,13,12
Atlanta Hawks,FALSE,37,18,85,35,10,6,-12
Milwaukee Bucks,TRUE,44,15,95,39,21,15,9
Philadelphia 76ers,FALSE,42,14,103,43,12,11,-9
Miami Heat,FALSE,40,10,96,37,35,27,-3
Los Angeles Lakers,TRUE,46,18,92,38,16,10,3
Minnesota Timberwolves,FALSE,39,17,95,44,20,15,-13
Golden State Warriors,TRUE,40,11,85,40,40,32,13
Indiana Pacers,FALSE,40,11,84,31,11,7,-3
Denver Nuggets,TRUE,36,12,84,30,20,17,3
Charlotte Hornets,TRUE,41,15,90,36,24,21,10
Memphis Grizzlies,FALSE,45,9,107,38,15,9,-10
Sacramento Kings,FALSE,47,10,91,36,16,13,-19
San Antonio Spurs,TRUE,49,18,92,32,31,20,19
Portland Trail Blazers,FALSE,44,7,91,30,16,14,-10
Phoenix Suns,TRUE,49,11,94,28,12,10,10
Oklahoma City Thunder,TRUE,37,10,87,34,30,24,8
New Orleans Pelicans,FALSE,34,9,97,35,32,23,-8
Chicago Bulls,TRUE,45,15,89,31,14,12,10
Dallas Mavericks,FALSE,38,12,83,33,24,19,-10
Houston Rockets,FALSE,35,12,82,34,34,22,-8
Detroit Pistons,TRUE,42,16,97,48,18,12,8
Milwaukee Bucks,TRUE,40,26,90,50,9,6,12
New York Knicks,FALSE,36,16,83,37,17,12,-12
Boston Celtics,TRUE,42,10,94,29,15,10,16
Toronto Raptors,FALSE,33,6,77,25,19,16,-16
Washington Wizards,TRUE,35,10,84,28,17,17,3
Cleveland Cavaliers,FALSE,35,9,76,31,21,15,-3
Brooklyn Nets,TRUE,46,16,91,37,17,15,33
Orlando Magic,FALSE,35,4,92,33,24,16,-33
Indiana Pacers,TRUE,43,11,96,31,19,14,11
Utah Jazz,FALSE,39,9,83,32,23,13,-11
Toronto Raptors,TRUE,42,14,96,33,17,17,6
Philadelphia 76ers,FALSE,40,11,88,34,19,18,-6
LA Clippers,TRUE,43,11,91,37,17,15,3
Miami Heat,FALSE,43,9,97,41,17,14,-3
Los Angeles Lakers,FALSE,29,9,82,41,20,16,-24
Minnesota Timberwolves,TRUE,43,12,94,37,12,9,24
Golden State Warriors,TRUE,45,15,93,46,16,14,26
